north,south,east,west,servo1,servo2,servo3,servo4
90.0,45.0,0,-10.0,0.01,2.758,0.01,2.759
90.0,45.0,-12.5,-10.0,0.009,2.759,0.01,2.759
90.0,45.0,-12.5,-10.0,0.01,2.757,0.009,2.758
90.0,45.0,-12.5,-10.0,0.008,2.757,0.009,2.758
90.0,45.0,-12.5,-10.0,0.01,2.757,0.008,2.761
90.0,45.0,-12.5,-10.0,0.01,2.757,0.01,2.758
90.0,45.0,-12.5,-10.0,0.008,2.755,0.009,2.758
90.0,45.0,-12.5,-10.0,0.008,2.756,0.009,2.757
90.0,45.0,-12.5,-10.0,0.009,2.758,0.01,2.756
90.0,45.0,-12.5,-10.0,0.008,2.757,0.009,2.758
90.0,45.0,-12.5,-10.0,0.01,2.757,0.01,2.758
90.0,45.0,-12.5,-10.0,0.009,2.758,0.009,2.759
90.0,45.0,-12.5,-10.0,0.009,2.756,0.009,2.76
90.0,45.0,-12.5,-10.0,0.009,2.759,0.009,2.758
90.0,45.0,-12.5,-10.0,0.009,2.759,0.008,2.755
90.0,45.0,-12.5,-10.0,0.01,2.757,0.009,2.758
90.0,45.0,-12.5,-10.0,0.01,2.758,0.008,2.757
90.0,45.0,-12.5,-10.0,0.01,2.758,0.009,2.759
90.0,45.0,-12.5,-10.0,0.009,2.759,0.009,2.758
90.0,45.0,-12.5,-10.0,0.009,2.757,0.009,2.757
90.0,45.0,-12.5,-10.0,0.009,2.756,0.01,2.76
-90.0,-45.0,-12.5,-30.0,0.01,2.757,0.009,2.758
-90.0,-45.0,-7.5,-30.0,0.01,2.757,0.007,2.759
-90.0,-45.0,-7.5,-30.0,0.009,2.758,0.009,2.76
-90.0,-45.0,-7.5,-30.0,0.009,2.758,0.008,2.759
-90.0,-45.0,-7.5,-30.0,0.008,2.757,0.009,2.757
-90.0,-45.0,-7.5,-30.0,0.008,2.758,0.009,2.758
-90.0,-45.0,-7.5,-30.0,0.009,2.756,0.009,2.758
-90.0,-45.0,-7.5,-30.0,0.01,2.758,0.01,2.758
-90.0,-45.0,-7.5,-30.0,0.009,2.759,0.01,2.759
-90.0,-45.0,-7.5,-30.0,0.009,2.76,0.011,2.757
-90.0,-45.0,-7.5,-30.0,0.009,2.756,0.009,2.757
-90.0,-45.0,-7.5,-30.0,0.007,2.757,0.009,2.76
-90.0,-45.0,-7.5,-30.0,0.008,2.76,0.009,2.759
-90.0,-45.0,-7.5,-30.0,0.008,2.757,0.009,2.757
-90.0,-45.0,-7.5,-30.0,0.008,2.756,0.008,2.757
-90.0,-45.0,-7.5,-30.0,0.008,2.757,0.008,2.758
-90.0,-45.0,-7.5,-30.0,0.01,2.756,0.008,2.757
-90.0,-45.0,-7.5,-30.0,0.009,2.756,0.009,2.757
-90.0,-45.0,-7.5,-30.0,0.009,2.756,0.009,2.758
-90.0,-45.0,-7.5,-30.0,0.009,2.758,0.009,2.759
-90.0,-45.0,-7.5,-30.0,0.01,2.758,0.009,2.757
-90.0,-45.0,-7.5,10.0,0.009,2.758,0.01,2.759
-90.0,-45.0,-2.5,10.0,0.008,2.76,0.009,2.758
-90.0,-45.0,-2.5,10.0,0.009,2.758,0.009,2.756
-90.0,-45.0,-2.5,10.0,0.01,2.756,0.01,2.757
-90.0,-45.0,-2.5,10.0,0.009,2.756,0.009,2.758
-90.0,-45.0,-2.5,10.0,0.01,2.756,0.01,2.756
-90.0,-45.0,-2.5,10.0,0.008,2.757,0.01,2.757
-90.0,-45.0,-2.5,10.0,0.007,2.757,0.009,2.757
-90.0,-45.0,-2.5,10.0,0.009,2.755,0.01,2.758
-90.0,-45.0,-2.5,10.0,0.009,2.757,0.009,2.76
-90.0,-45.0,-2.5,10.0,0.009,2.759,0.008,2.758
-90.0,-45.0,-2.5,10.0,0.008,2.757,0.008,2.758
-90.0,-45.0,-2.5,10.0,0.009,2.756,0.01,2.758
-90.0,-45.0,-2.5,10.0,0.009,2.757,0.01,2.759
-90.0,-45.0,-2.5,10.0,0.008,2.757,0.01,2.759
-90.0,-45.0,-2.5,10.0,0.009,2.758,0.009,2.759
-90.0,-45.0,-2.5,10.0,0.009,2.759,0.008,2.756
-90.0,-45.0,-2.5,10.0,0.009,2.76,0.009,2.759
-90.0,-45.0,-2.5,10.0,0.008,2.759,0.009,2.76
-90.0,-45.0,-2.5,10.0,0.009,2.758,0.01,2.759
-90.0,-45.0,-2.5,10.0,0.009,2.756,0.008,2.756
90.0,45.0,-2.5,-10.0,0.009,2.756,0.008,2.759
90.0,45.0,2.5,-10.0,0.009,2.756,0.008,2.759
90.0,45.0,2.5,-10.0,0.009,2.759,0.009,2.759
90.0,45.0,2.5,-10.0,0.009,2.757,0.01,2.759
90.0,45.0,2.5,-10.0,0.009,2.758,0.011,2.756
90.0,45.0,2.5,-10.0,0.008,2.758,0.01,2.759
90.0,45.0,2.5,-10.0,0.009,2.758,0.009,2.759
90.0,45.0,2.5,-10.0,0.01,2.76,0.01,2.76
90.0,45.0,2.5,-10.0,0.008,2.757,0.009,2.759
90.0,45.0,2.5,-10.0,0.01,2.757,0.009,2.758
90.0,45.0,2.5,-10.0,0.009,2.757,0.009,2.756
90.0,45.0,2.5,-10.0,0.009,2.759,0.009,2.759
90.0,45.0,2.5,-10.0,0.01,2.758,0.009,2.758
