north,south,east,west,servo1,servo2,servo3,servo4
-90.0,-45.0,0,-30.0,2.673,2.165,1.418,1.383
-90.0,-45.0,-7.5,-30.0,2.326,1.813,1.419,1.421
-90.0,-45.0,-7.5,-30.0,1.682,1.267,1.239,1.423
-90.0,-45.0,-7.5,-30.0,1.029,1.171,1.221,1.422
-90.0,-45.0,-7.5,-30.0,0.668,1.168,1.22,1.426
-90.0,-45.0,-7.5,-30.0,0.662,1.17,1.219,1.426
-90.0,-45.0,-7.5,-30.0,0.662,1.171,1.218,1.425
-90.0,-45.0,-7.5,-30.0,0.662,1.169,1.219,1.426
-90.0,-45.0,-7.5,-30.0,0.66,1.168,1.219,1.426
-90.0,-45.0,-7.5,-30.0,0.663,1.168,1.22,1.424
-90.0,-45.0,-7.5,-30.0,0.662,1.169,1.219,1.425
-90.0,-45.0,-7.5,-30.0,0.66,1.168,1.22,1.426
-90.0,-45.0,-7.5,-30.0,0.661,1.17,1.22,1.424
-90.0,-45.0,-7.5,-30.0,0.662,1.168,1.219,1.427
-90.0,-45.0,-7.5,-30.0,0.66,1.169,1.22,1.425
-90.0,-45.0,-7.5,-30.0,0.66,1.167,1.22,1.425
-90.0,-45.0,-7.5,-30.0,0.661,1.169,1.218,1.425
-90.0,-45.0,-7.5,-30.0,0.662,1.168,1.219,1.425
-90.0,-45.0,-7.5,-30.0,0.66,1.17,1.217,1.425
-90.0,-45.0,-7.5,-30.0,0.661,1.169,1.218,1.425
-90.0,-45.0,-7.5,-30.0,0.661,1.169,1.221,1.425
-90.0,-45.0,-7.5,10.0,0.661,1.17,1.218,1.43
-90.0,-45.0,-2.5,10.0,0.662,1.171,1.242,1.474
-90.0,-45.0,-2.5,10.0,0.661,1.169,1.533,1.475
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.623,1.475
-90.0,-45.0,-2.5,10.0,0.66,1.169,1.622,1.475
-90.0,-45.0,-2.5,10.0,0.661,1.169,1.622,1.474
-90.0,-45.0,-2.5,10.0,0.661,1.17,1.621,1.476
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.62,1.475
-90.0,-45.0,-2.5,10.0,0.661,1.169,1.622,1.476
-90.0,-45.0,-2.5,10.0,0.661,1.168,1.62,1.475
-90.0,-45.0,-2.5,10.0,0.661,1.17,1.623,1.476
-90.0,-45.0,-2.5,10.0,0.663,1.169,1.622,1.475
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.621,1.476
-90.0,-45.0,-2.5,10.0,0.662,1.167,1.622,1.476
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.622,1.477
-90.0,-45.0,-2.5,10.0,0.661,1.17,1.62,1.476
-90.0,-45.0,-2.5,10.0,0.661,1.17,1.62,1.475
-90.0,-45.0,-2.5,10.0,0.661,1.169,1.622,1.475
-90.0,-45.0,-2.5,10.0,0.661,1.17,1.62,1.476
-90.0,-45.0,-2.5,10.0,0.66,1.169,1.62,1.476
-90.0,-45.0,-2.5,10.0,0.661,1.17,1.621,1.477
90.0,45.0,-2.5,-10.0,0.689,1.201,1.622,1.481
90.0,45.0,2.5,-10.0,1.057,1.591,1.621,1.52
90.0,45.0,2.5,-10.0,1.691,2.082,1.448,1.526
90.0,45.0,2.5,-10.0,2.34,2.164,1.424,1.525
90.0,45.0,2.5,-10.0,2.666,2.16,1.427,1.528
90.0,45.0,2.5,-10.0,2.674,2.16,1.426,1.527
90.0,45.0,2.5,-10.0,2.674,2.159,1.426,1.529
90.0,45.0,2.5,-10.0,2.676,2.16,1.424,1.525
90.0,45.0,2.5,-10.0,2.674,2.16,1.426,1.527
90.0,45.0,2.5,-10.0,2.676,2.16,1.425,1.529
90.0,45.0,2.5,-10.0,2.674,2.16,1.426,1.528
90.0,45.0,2.5,-10.0,2.674,2.159,1.426,1.526
90.0,45.0,2.5,-10.0,2.675,2.161,1.426,1.527
90.0,45.0,2.5,-10.0,2.675,2.159,1.426,1.529
90.0,45.0,2.5,-10.0,2.675,2.159,1.427,1.528
90.0,45.0,2.5,-10.0,2.675,2.16,1.427,1.528
90.0,45.0,2.5,-10.0,2.675,2.16,1.425,1.529
90.0,45.0,2.5,-10.0,2.675,2.16,1.424,1.527
90.0,45.0,2.5,-10.0,2.675,2.16,1.424,1.527
90.0,45.0,2.5,-10.0,2.673,2.159,1.427,1.528
90.0,45.0,2.5,-10.0,2.674,2.159,1.425,1.527
90.0,45.0,2.5,30.0,2.674,2.157,1.427,1.533
90.0,45.0,7.5,30.0,2.674,2.158,1.447,1.574
90.0,45.0,7.5,30.0,2.674,2.159,1.734,1.578
90.0,45.0,7.5,30.0,2.673,2.16,1.821,1.577
90.0,45.0,7.5,30.0,2.675,2.16,1.821,1.578
90.0,45.0,7.5,30.0,2.673,2.161,1.822,1.577
90.0,45.0,7.5,30.0,2.673,2.161,1.819,1.577
90.0,45.0,7.5,30.0,2.674,2.159,1.821,1.577
90.0,45.0,7.5,30.0,2.673,2.158,1.82,1.576
90.0,45.0,7.5,30.0,2.673,2.16,1.82,1.579
90.0,45.0,7.5,30.0,2.674,2.158,1.82,1.579
90.0,45.0,7.5,30.0,2.675,2.16,1.822,1.579
90.0,45.0,7.5,30.0,2.673,2.158,1.822,1.578
90.0,45.0,7.5,30.0,2.675,2.16,1.823,1.578
90.0,45.0,7.5,30.0,2.675,2.161,1.821,1.578
90.0,45.0,7.5,30.0,2.674,2.161,1.82,1.58
90.0,45.0,7.5,30.0,2.672,2.161,1.822,1.577
90.0,45.0,7.5,30.0,2.676,2.159,1.821,1.577
90.0,45.0,7.5,30.0,2.674,2.159,1.821,1.577
90.0,45.0,7.5,30.0,2.674,2.159,1.82,1.577
90.0,45.0,7.5,30.0,2.673,2.158,1.821,1.577
-90.0,-45.0,7.5,10.0,2.676,2.162,1.818,1.582
-90.0,-45.0,12.5,10.0,2.33,1.805,1.827,1.618
-90.0,-45.0,12.5,10.0,1.686,1.27,1.645,1.625
-90.0,-45.0,12.5,10.0,1.033,1.17,1.627,1.623
-90.0,-45.0,12.5,10.0,0.668,1.167,1.625,1.623
-90.0,-45.0,12.5,10.0,0.661,1.17,1.626,1.623
-90.0,-45.0,12.5,10.0,0.662,1.169,1.625,1.625
-90.0,-45.0,12.5,10.0,0.661,1.171,1.625,1.624
-90.0,-45.0,12.5,10.0,0.66,1.169,1.624,1.625
-90.0,-45.0,12.5,10.0,0.662,1.168,1.624,1.624
-90.0,-45.0,12.5,10.0,0.663,1.169,1.624,1.625
-90.0,-45.0,12.5,10.0,0.661,1.17,1.624,1.625
-90.0,-45.0,12.5,10.0,0.661,1.169,1.625,1.624
-90.0,-45.0,12.5,10.0,0.662,1.169,1.624,1.625
-90.0,-45.0,12.5,10.0,0.661,1.168,1.625,1.624
-90.0,-45.0,12.5,10.0,0.661,1.17,1.625,1.624
-90.0,-45.0,12.5,10.0,0.662,1.169,1.625,1.626
-90.0,-45.0,12.5,10.0,0.66,1.17,1.626,1.623
-90.0,-45.0,12.5,10.0,0.659,1.168,1.624,1.624
-90.0,-45.0,12.5,10.0,0.664,1.169,1.625,1.625
-90.0,-45.0,12.5,10.0,0.662,1.169,1.625,1.625
-90.0,-45.0,12.5,50.0,0.658,1.169,1.625,1.629
-90.0,-45.0,17.5,50.0,0.661,1.17,1.651,1.673
